time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.977216388e-05,4.50958688831e-06,10.00754304,0.000790275588982,0.011234090881,0.0,-0.00301282600347,0.00026235256251,0.251407629706,-0.0110118254981,0.0355359560866,0.0,481.0351563902329,483.71812970153667,483.1557688732017,482.32505039504196
0.12000000000000001,-0.000511844350857,6.3344836557e-05,10.0291575924,0.00657091326497,0.0133557114126,0.0,-0.0126431473536,0.00235721802062,0.469008166367,0.0156162895316,0.0347553041474,0.0,473.51476653626554,473.4551753882506,471.19686502231656,473.2506025486285
0.18,-0.00158688153125,0.000360018062788,10.0626568683,0.00749850772008,0.0154364355758,0.0,-0.0234291740517,0.0076374303293,0.647545567338,0.0149767304095,0.0326122107335,0.0,462.38544984665305,462.217038841838,460.5859968494712,460.53531193631375
0.23999999999999996,-0.00338263627512,0.001005126443,10.1080705974,0.00857463509901,0.0192458825832,0.0,-0.0368661485716,0.0140008313539,0.866096635948,0.00900776720016,0.0463708385199,0.0,473.31590853005866,474.37401766473914,473.43188795304155,472.97234051516676
0.3,-0.00601526237205,0.0020692212176,10.1634319727,0.0203037321234,0.0229939593111,0.0,-0.051288456361,0.022650290256,0.979168757684,0.0444693326664,0.0343382643841,0.0,442.91020424283255,441.92061441760904,439.85773736727805,442.7844647086834
0.36000000000000004,-0.0096274003975,0.00390595009041,10.2273696216,0.0236963658786,0.0252452712417,0.0,-0.0693622901314,0.0389438818317,1.15191317662,0.0526700013449,0.0380739100382,0.0,460.33327611121223,460.6292610634825,460.18831385590073,460.8381703437816
0.4200000000000001,-0.0142508357268,0.00668184825781,10.2967671312,0.0277412057714,0.0278796768413,0.0,-0.08498085011,0.0539542157201,1.16131137478,0.0410968046883,0.0434643729108,0.0,407.1665970061305,407.6494851972255,410.38879409462805,409.3620641375723
0.48000000000000015,-0.0199781234512,0.0105452334894,10.37091458,0.0308320661789,0.0306125424383,0.0,-0.10621996718,0.0751497197617,1.31009170588,0.0486399557298,0.0463188773251,0.0,453.58453733352326,453.81477686795165,453.30636960072724,453.913078224743
0.5400000000000001,-0.0270582527218,0.0157688375439,10.4545321561,0.0343622027313,0.0334481325266,0.0,-0.13010039774,0.099369501786,1.47693443127,0.0387881594006,0.0422523659519,0.0,458.90021755156397,458.57844168441136,460.7476572586895,459.9693185239574
0.6000000000000002,-0.0355972495096,0.0224846198261,10.5468983997,0.0385858569022,0.0372406366395,0.0,-0.154942833159,0.124946701667,1.60173916637,0.0224551130739,0.0287102133634,0.0,447.9515948787355,446.8497925217218,447.5440581218835,446.2132623027054
0.6600000000000003,-0.0455782386573,0.0306993443692,10.6434683109,0.0437108014476,0.0398395132283,0.0,-0.177981174179,0.149354489241,1.61720458173,-6.99467389406e-05,0.037834398594,0.0,412.1448628524405,412.9508980928992,412.7436642766482,410.75100695510605
0.7200000000000003,-0.057330075459,0.0408235361099,10.7490587995,0.0467864071506,0.044951813593,0.0,-0.214416958603,0.188521438413,1.90199424533,-0.0205316972064,0.0181272648174,0.0,495.4705478873212,494.01995029834956,496.01293933042103,494.5081769976083
0.7800000000000004,-0.0710221517249,0.0529896973103,10.8637876488,0.0465982366009,0.0460738231665,0.0,-0.242085433654,0.217008322151,1.92225779265,-0.0329873793979,0.0192862263945,0.0,415.149895346337,415.25153868201335,415.26356120390045,414.1694173504679
0.8400000000000004,-0.086373275995,0.0668557330417,10.9791574112,0.0535572564086,0.0483999054802,0.0,-0.269834672026,0.245771593315,1.92335389928,-0.00141504672837,0.00618202519843,0.0,409.2990764969529,408.13115322615926,407.0580055009263,409.87330641159247
0.9000000000000005,-0.103594452138,0.0827594113983,11.0980872679,0.0596890075143,0.0488393461184,0.0,-0.304246807791,0.284951860657,2.04072635601,0.0247242946146,0.00187365802869,0.0,447.0807888630725,446.72955412887814,445.30052005800167,447.4334956974026
0.9600000000000005,-0.122945806892,0.101217571243,11.2252108654,0.0666493358349,0.0491110467841,0.0,-0.340812437439,0.331040664444,2.19638111492,0.0491886021965,0.00520732175844,0.0,460.0460421317134,460.3098546764532,456.8054474088388,458.7524677343457
1.0200000000000005,-0.14468215602,0.122759000776,11.3641181347,0.0726384917871,0.0624768468057,0.0,-0.38539384734,0.387675152924,2.43322417272,0.0671189304867,-0.0355886669511,0.0,485.1548249538534,482.0821877554471,483.36166266509076,484.71276154189394
1.0800000000000005,-0.169182732046,0.14765063115,11.5145067908,0.0798179285459,0.0603307686605,0.0,-0.431041800109,0.442781033816,2.57935024066,0.0854048153846,-0.0364022513807,0.0,458.2454913526352,458.1802861855996,457.3164154867465,458.77460503450976
1.1400000000000006,-0.196305907856,0.175906353935,11.6724949286,0.0852084216184,0.0581708920994,0.0,-0.472832795261,0.499603415463,2.68662288197,0.0899823144769,-0.0396884657429,0.0,446.9840806102816,446.7155381254704,446.7867885289701,447.166036869104
1.2000000000000006,-0.225752678035,0.207474313335,11.8344836122,0.0906637367276,0.056333305051,0.0,-0.508567150685,0.553152263981,2.7128844856,0.0859170564664,-0.0490549144224,0.0,421.76029934193923,420.9494279856748,421.6734102036185,421.32909130713625
1.2600000000000007,-0.257272142768,0.242297090701,11.9974227856,0.0958356951715,0.0536331772113,0.0,-0.541843363527,0.608054891162,2.71836145273,0.0865802487116,-0.0447215871271,0.0,414.3539866412502,414.7332153144037,414.8515388368061,414.9164659859017
